"date","geography","geography code","Country of birth: Total; measures: Value","Country of birth: Europe; measures: Value","Country of birth: Europe: United Kingdom; measures: Value","Country of birth: Europe: EU countries; measures: Value","Country of birth: Europe: EU countries: European Union EU14; measures: Value","Country of birth: Europe: EU countries: European Union EU8; measures: Value","Country of birth: Europe: EU countries: European Union EU2; measures: Value","Country of birth: Europe: EU countries: All other EU countries; measures: Value","Country of birth: Europe: Non-EU countries; measures: Value","Country of birth: Europe: Non-EU countries: All other non-EU countries; measures: Value","Country of birth: Africa; measures: Value","Country of birth: Middle East and Asia; measures: Value","Country of birth: The Americas and the Caribbean; measures: Value","Country of birth: Antarctica and Oceania (including Australasia) and Other; measures: Value","Country of birth: British Overseas ; measures: Value"
"2021","Watford","E07000103",102245,81735,67527,12710,4666,3408,4519,117,1498,1498,4895,13505,1836,250,24
"2021","Breckland","E07000143",141476,137173,126175,10469,3750,5534,969,216,529,529,1093,1375,1592,222,21
"2021","Broadland","E07000144",131720,127966,124296,3325,1708,891,539,187,345,345,1143,1716,611,269,15
"2021","Great Yarmouth","E07000145",99750,96349,89995,6007,2450,2662,743,152,347,347,1098,1793,404,97,9
"2021","King's Lynn and West Norfolk","E07000146",154325,148337,138376,9116,2413,5683,817,203,845,845,1151,2621,1988,218,10
"2021","North Norfolk","E07000147",102979,100872,98291,2371,1279,677,282,133,210,210,644,812,444,192,15
"2021","Norwich","E07000148",143922,131521,118600,11743,4285,4965,2255,238,1178,1178,3171,6957,1803,431,39
"2021","South Norfolk","E07000149",141949,136640,131950,4193,2049,1312,684,148,497,497,1663,2350,908,366,22
"2021","Babergh","E07000200",92339,89789,87057,2476,1386,657,309,124,256,256,805,928,564,243,10
"2021","Ipswich","E07000202",139642,129333,114863,13396,3549,5425,4289,133,1074,1074,2663,5847,1525,198,76
"2021","Mid Suffolk","E07000203",102700,99596,96911,2449,1409,567,324,149,236,236,820,1006,996,261,21
"2021","St Albans","E07000240",148169,133848,122959,9486,5978,2145,1125,238,1403,1403,4057,6724,2470,1032,38
"2021","Welwyn Hatfield","E07000241",119836,105512,93466,10616,3572,3515,3051,478,1430,1430,5291,7204,1420,367,42
"2021","East Hertfordshire","E07000242",150158,142997,133893,8151,4709,1962,1235,245,953,953,2253,2870,1457,546,35
"2021","Stevenage","E07000243",89492,81026,74744,5701,1969,1890,1692,150,581,581,2881,4637,796,133,19
"2021","East Suffolk","E07000244",246060,238731,231386,6725,3520,1824,1095,286,620,620,2055,3233,1495,513,33
"2021","West Suffolk","E07000245",179949,160969,149325,10778,4339,4462,1685,292,866,866,2049,4140,12152,568,71
"2021","City of London","E09000001",8582,6253,4327,1577,1188,260,79,50,349,349,312,1167,641,204,5
"2021","Barking and Dagenham","E09000002",218870,163967,128483,28745,7149,8940,12165,491,6739,6739,22774,28621,3252,126,130
"2021","Barnet","E09000003",389343,291082,221293,56049,22851,13616,16451,3131,13740,13740,27074,59613,9925,1558,91
"2021","Bexley","E09000004",246473,212492,194714,14694,5884,4421,3613,776,3084,3084,16056,14592,2878,414,41
"2021","Brent","E09000005",339815,209997,149239,55082,23869,11099,19184,930,5676,5676,33502,76536,18013,1535,232
"2021","Bromley","E09000006",329992,289600,263052,21790,11485,5471,3634,1200,4758,4758,12609,18632,7463,1598,90
"2021","Camden","E09000007",210136,152688,114647,30372,23602,3953,1706,1111,7669,7669,13084,28779,12650,2864,71
"2021","Croydon","E09000008",390720,296528,254536,36714,17266,11355,7074,1019,5278,5278,33692,38973,20180,1129,218
"2021","Ealing","E09000009",367115,243540,180561,54853,23804,22930,7005,1114,8126,8126,24615,84828,11705,2205,222
"2021","Enfield","E09000010",329984,271721,196824,48917,14935,8750,15076,10156,25980,25980,27252,19641,10271,656,443
"2021","Greenwich","E09000011",289067,219846,180578,32282,15484,8651,7037,1110,6986,6986,30191,27892,9498,1526,114
"2021","Hackney","E09000012",259146,200394,156219,32308,23170,5566,2016,1556,11867,11867,19978,17049,16348,4494,883
"2021","Hammersmith and Fulham","E09000013",183157,136882,99818,31230,23959,4612,1926,733,5834,5834,12626,18935,11365,3252,97
"2021","Haringey","E09000014",264238,208026,143117,48512,21786,11107,12256,3363,16397,16397,19709,15418,18683,1999,403
"2021","Harrow","E09000015",261203,169289,127612,38141,10462,5397,21821,461,3536,3536,26748,59517,4985,545,119
"2021","Havering","E09000016",262051,234186,211166,18202,5345,5684,6564,609,4818,4818,10377,14233,2777,365,113
"2021","Hillingdon","E09000017",305909,221188,188260,28409,12342,9021,6533,513,4519,4519,18523,60435,4955,687,121
"2021","Hounslow","E09000018",288176,188571,145556,36146,13377,14744,7403,622,6869,6869,19197,73070,5867,1374,97
"2021","Islington","E09000019",216589,170000,130213,31308,24123,3738,1976,1471,8479,8479,13787,15510,12578,4435,279
"2021","Kensington and Chelsea","E09000020",143375,100579,66063,27515,23259,2480,1263,513,7001,7001,9370,18967,12261,2110,88
"2021","Kingston upon Thames","E09000021",168066,132294,111412,17191,9336,4429,2981,445,3691,3691,6771,23722,4079,1130,70
"2021","Lambeth","E09000022",317654,241250,195091,41705,30869,7232,2683,921,4454,4454,27147,16048,28593,4461,155
"2021","Lewisham","E09000023",300553,232343,193483,33189,18866,7305,5429,1589,5671,5671,25122,18898,21976,2035,179
"2021","Merton","E09000024",215185,162015,127245,29973,13923,9404,6086,560,4797,4797,15107,26474,9640,1858,91
"2021","Newham","E09000025",351036,227760,162447,55988,19035,14082,22255,616,9325,9325,29170,81288,11720,788,310
"2021","Redbridge","E09000026",310260,216641,174963,32557,11089,7001,13531,936,9121,9121,17331,70360,5132,579,217
"2021","Richmond upon Thames","E09000027",195278,164595,139053,20012,13387,4381,1707,537,5530,5530,6823,14039,6971,2788,62
"2021","Southwark","E09000028",307632,224631,182392,36655,26441,5926,2721,1567,5584,5584,32903,21775,25034,3141,148
"2021","Sutton","E09000029",209636,171810,151447,16998,7397,5096,4121,384,3365,3365,9215,24124,3779,661,47
"2021","Tower Hamlets","E09000030",310306,215094,165081,43117,30302,7411,4304,1100,6896,6896,13161,67881,10816,3196,158
"2021","Waltham Forest","E09000031",278429,223314,171070,41633,12851,10869,16453,1460,10611,10611,16683,25839,10586,1558,449
"2021","Wandsworth","E09000032",327506,255054,203322,44346,30968,9180,3271,927,7386,7386,20281,27757,18167,6088,159
"2021","Westminster","E09000033",204238,136883,90702,36447,29082,4119,2179,1067,9734,9734,13881,35636,14875,2868,95
"2021","Medway","E06000035",279773,258295,241119,15239,5344,5619,3696,580,1937,1937,8764,9945,2270,443,56
"2021","Bracknell Forest","E06000036",124607,112260,102964,7810,3406,2849,1303,252,1486,1486,3963,6462,1495,395,32
"2021","West Berkshire","E06000037",161447,150764,141996,7953,3879,2605,1253,216,815,815,3204,5024,1809,587,59
"2021","Reading","E06000038",174225,138571,115894,19722,8215,7017,3996,494,2955,2955,8045,23085,3857,582,85
"2021","Slough","E06000039",158500,109302,88806,19042,5019,10006,3876,141,1454,1454,8662,38461,1633,161,281
"2021","Windsor and Maidenhead","E06000040",153496,133776,120245,11801,6967,3354,1203,277,1730,1730,4861,10805,2879,1095,80
"2021","Wokingham","E06000041",177502,154676,143891,9211,4925,2468,1538,280,1574,1574,5656,14264,2173,683,50
"2021","Milton Keynes","E06000042",287060,241450,213215,25718,9816,8604,6870,428,2517,2517,19244,22004,3639,600,123
"2021","Brighton and Hove","E06000043",277103,249433,222760,23104,15099,5690,1743,572,3569,3569,7863,12517,5326,1759,205
"2021","Portsmouth","E06000044",208003,188936,172763,14731,5198,4901,3986,646,1442,1442,5515,10925,2012,463,152
"2021","Southampton","E06000045",248921,219770,188823,28800,8526,14912,4821,541,2147,2147,6819,18768,2758,614,192
"2021","Isle of Wight","E06000046",140459,136283,131851,3964,2387,930,446,201,468,468,1186,1804,802,350,34
"2021","Buckinghamshire","E06000060",553078,495731,461030,31546,14538,9653,6526,829,3155,3155,13385,33538,7994,2311,119
"2021","Eastbourne","E07000061",101686,94907,86238,7671,3915,2316,1207,233,998,998,1918,3427,1123,276,35
"2021","Hastings","E07000062",90991,85942,80653,4601,1863,1652,927,159,688,688,1383,2551,783,309,23
"2021","Lewes","E07000063",99904,95314,91059,3834,2376,1024,311,123,421,421,1360,1868,991,351,20
"2021","Rother","E07000064",93112,89198,86089,2746,1874,487,262,123,363,363,1202,1549,845,289,29
"2021","Wealden","E07000065",160151,153648,147986,5037,3225,1047,544,221,625,625,2049,2529,1277,603,45
"2021","Basingstoke and Deane","E07000084",185158,168965,157505,10439,4402,3984,1799,254,1021,1021,4568,9276,1809,490,50
"2021","East Hampshire","E07000085",125744,119392,113737,5149,2741,1395,783,230,506,506,2067,2565,1113,552,55
"2021","Eastleigh","E07000086",136443,129263,123713,5009,2339,1715,723,232,541,541,2197,3720,871,342,50
"2021","Fareham","E07000087",114513,110359,106737,3229,1804,665,403,357,393,393,1284,1955,595,269,51
"2021","Gosport","E07000088",81954,78969,75997,2660,1306,708,331,315,312,312,750,1277,702,215,41
"2021","Hart","E07000089",99408,92515,87770,4296,2627,991,514,164,449,449,2351,3110,976,438,18
"2021","Havant","E07000090",124207,120073,116201,3544,1725,729,745,345,328,328,1213,2017,618,214,72
"2021","New Forest","E07000091",175786,169516,163689,5199,3076,1295,571,257,628,628,2071,2398,1097,624,80
"2021","Rushmoor","E07000092",99754,82542,75967,5861,2714,1584,1340,223,714,714,2229,13613,973,371,26
"2021","Test Valley","E07000093",130492,122991,115982,6374,3238,2235,653,248,635,635,2276,3681,1012,494,38
"2021","Winchester","E07000094",127444,119375,113477,5127,3196,1248,444,239,771,771,2102,3832,1416,667,52
"2021","Ashford","E07000105",132748,121310,114942,5677,2611,1959,928,179,691,691,2915,7165,946,376,36
"2021","Canterbury","E07000106",157429,146966,137129,8581,4691,1601,1885,404,1256,1256,3029,5287,1591,487,69
"2021","Dartford","E07000107",116753,101903,93777,7098,2313,2846,1780,159,1028,1028,6625,6968,1073,163,21
"2021","Dover","E07000108",116410,111956,106575,4969,2326,1972,461,210,412,412,1100,2259,752,316,27
"2021","Gravesham","E07000109",106900,95342,86328,8164,1947,4098,1986,133,850,850,3849,6638,815,203,53
"2021","Maidstone","E07000110",175780,163904,151237,11191,3338,4215,3408,230,1476,1476,3458,6769,1190,424,35
"2021","Sevenoaks","E07000111",120513,112948,107235,4900,2833,1242,637,188,813,813,2660,2866,1370,637,32
"2021","Folkestone and Hythe","E07000112",109757,103319,98281,4567,2497,1354,523,193,471,471,1245,4247,640,295,11
"2021","Swale","E07000113",151677,146654,139533,6487,1956,2502,1809,220,634,634,2295,1768,674,265,21
"2021","Thanet","E07000114",140587,134857,126862,7119,2554,3452,786,327,876,876,1689,2758,881,372,30
"2021","Tonbridge and Malling","E07000115",132207,125392,120359,4412,2298,1139,778,197,621,621,2244,3079,1000,460,32
"2021","Tunbridge Wells","E07000116",115310,106783,99728,6329,3040,1795,1319,175,726,726,2390,4202,1253,648,34
"2021","Cherwell","E07000177",161017,147871,132685,13640,4833,5540,3048,219,1546,1546,3123,6531,2858,597,37
"2021","Oxford","E07000178",162040,128170,105387,19221,11700,4528,2482,511,3562,3562,5715,19233,7516,1335,71
"2021","South Oxfordshire","E07000179",149083,139430,130136,8383,4298,2756,1070,259,911,911,2878,3783,2132,828,32
"2021","Vale of White Horse","E07000180",138913,128347,119245,8074,4870,1936,1012,256,1028,1028,2805,4757,2240,706,58
"2021","West Oxfordshire","E07000181",114237,108397,102123,5762,3035,1624,858,245,512,512,1751,2020,1493,539,37
"2021","Elmbridge","E07000207",138754,121124,109048,10211,6177,2621,1128,285,1865,1865,5588,7026,3590,1383,43
"2021","Epsom and Ewell","E07000208",80938,69815,63540,5501,3179,1339,824,159,774,774,3290,5996,1417,398,22
"2021","Guildford","E07000209",143649,127387,116160,9796,5490,2475,1420,411,1431,1431,4298,8446,2577,890,51
"2021","Mole Valley","E07000210",87385,81101,76578,4030,2318,1121,476,115,493,493,2295,2346,1107,515,21
"2021","Reigate and Banstead","E07000211",150850,135324,126218,8018,4481,1962,1336,239,1088,1088,5034,7806,2006,640,40
